Exchange,Symbol,AverageDividend,AverageClosingPrice,AverageVolume
NYSE,CWZ,1.109,17.655,"3,136.905"
NYSE,CBK,0.060,5.925,"234,022.531"
NYSE,CNX,0.100,37.358,"3,811,331.500"
NYSE,CLB,0.287,88.926,"288,011.469"
NYSE,CAG,0.192,19.259,"4,288,458.000"
NYSE,CRT,0.157,27.017,"25,298.809"
NYSE,COL,0.240,43.215,"1,305,699.250"
NYSE,CMI,0.175,36.819,"3,068,422.500"
NYSE,CATO,0.165,18.199,"276,529.750"
NYSE,CIM,0.108,3.545,"7,106,761.000"
NYSE,CRS,0.180,20.336,"650,623.000"
NYSE,CYT,0.041,24.977,"636,882.125"
NYSE,COP,0.477,45.437,"13,411,102.000"
NYSE,CHH,0.185,28.557,"411,483.719"
NYSE,CDR,0.101,5.143,"319,951.969"
NYSE,CCE,0.075,17.039,"4,100,738.250"
NYSE,CBL,0.145,6.716,"3,102,602.500"
NYSE,CXE,0.030,4.183,"55,688.492"
NYSE,CCS,0.414,21.887,"50,357.938"
NYSE,CFR,0.428,47.301,"769,283.875"
NYSE,CLF,0.064,28.540,"5,174,055.500"
NYSE,CM,0.778,51.394,"567,202.375"
NYSE,CSH,0.035,24.955,"380,796.438"
NYSE,CMS,0.125,12.745,"3,825,559.250"
NYSE,CBE,0.250,33.201,"2,246,071.500"
NYSE,CMU,0.028,3.827,"43,846.430"
NYSE,CLX,0.480,55.824,"1,687,104.375"
NYSE,CNW,0.100,31.082,"1,508,976.250"
NYSE,CNQ,0.094,54.012,"3,006,929.750"
NYSE,CLI,0.498,26.538,"1,668,464.000"
NYSE,CFT,0.415,97.383,"50,979.762"
NYSE,CA,0.040,19.646,"5,720,238.500"
NYSE,CJB,0.661,40.895,"48,019.047"
NYSE,CEG,0.240,27.786,"1,798,068.750"
NYSE,CAS,0.060,10.945,"139,892.859"
NYSE,CIG,0.546,15.171,"1,908,657.750"
NYSE,CLC,0.092,30.377,"350,163.250"
NYSE,CMA,0.050,23.151,"3,593,836.000"
NYSE,CCT,0.438,23.210,"27,132.143"
NYSE,CLNY,0.070,19.612,"243,473.906"
NYSE,CL,0.430,70.232,"3,258,122.500"
NYSE,CPK,0.312,30.496,"28,738.889"
NYSE,CYD,0.100,8.380,"162,798.812"
NYSE,CHA,1.097,44.963,"298,435.719"
NYSE,CNL,0.225,23.256,"474,411.125"
NYSE,CS,0.096,42.611,"1,448,818.250"
NYSE,CVE,11.875,24.506,"1,532,893.750"
NYSE,CSE,0.010,3.561,"4,475,077.500"
NYSE,CGO,0.100,11.671,"32,797.617"
NYSE,CCW,0.438,23.101,"88,811.906"
NYSE,CMO,0.560,12.561,"787,759.938"
NYSE,CIU,0.405,99.492,"169,323.406"
NYSE,CSL,0.157,26.918,"480,465.469"
NYSE,CNK,0.180,10.322,"326,508.344"
NYSE,CHT,0.581,17.750,"922,581.375"
NYSE,CI,0.040,25.674,"4,765,915.000"
NYSE,CIF,0.022,2.085,"48,559.523"
NYSE,CAH,2.083,32.585,"3,367,060.500"
NYSE,CPA,0.370,38.379,"393,193.250"
NYSE,CBT,0.180,17.359,"584,038.125"
NYSE,CTS,0.030,6.976,"159,069.953"
NYSE,CHW,0.066,6.789,"216,927.781"
NYSE,CXH,0.051,8.203,"15,373.810"
NYSE,CW,0.080,31.243,"292,132.406"
NYSE,CCJ,0.053,24.399,"2,487,880.250"
NYSE,CEO,2.580,126.038,"454,453.188"
NYSE,CII,0.485,12.862,"165,107.547"
NYSE,CV,0.230,18.629,"60,564.621"
NYSE,CMC,0.120,15.209,"1,810,985.375"
NYSE,CNI,0.223,44.086,"1,655,327.750"
NYSE,COY,0.061,5.386,"117,601.984"
NYSE,CDI,0.130,12.115,"108,858.727"
NYSE,CYN,0.138,37.296,"941,376.062"
NYSE,CB,0.350,44.581,"3,680,821.750"
LNSE,CLI,0.498,34.985,"703,500.000"
NYSE,CPP,1.006,18.113,"3,982.937"
NYSE,CBU,0.220,17.645,"273,672.219"
NYSE,CEL,0.767,26.342,"176,142.859"
NYSE,CP,0.221,40.279,"908,836.625"
NYSE,CSQ,0.065,7.381,"471,813.844"
NYSE,CHI,0.095,10.406,"188,817.859"
NYSE,CMP,0.355,57.364,"732,028.875"
NYSE,CKR,0.060,8.846,"456,591.688"
NYSE,CHL,0.887,47.975,"2,103,197.750"
NYSE,CTB,0.105,11.575,"970,133.312"
NYSE,CSX,0.220,36.974,"6,220,406.500"
NYSE,CHG,0.540,44.976,"67,929.766"
NYSE,CVB,0.388,9.591,"1,624.206"
NYSE,CAT,0.420,42.222,"12,570,010.000"
NYSE,CPY,0.160,11.808,"49,072.617"
NYSE,CME,1.150,268.771,"1,183,015.125"
NYSE,CVX,0.665,69.884,"11,755,411.000"
NYSE,CSA,0.150,5.330,"256,420.641"
NYSE,COG,0.030,32.835,"1,853,881.750"
NYSE,CPL,1.790,49.606,"118,496.430"
NYSE,CIX,0.125,6.427,"2,948.810"
NYSE,COH,0.075,25.952,"5,901,603.000"
NYSE,CNS,0.050,16.319,"265,972.625"
NYSE,CSJ,0.323,102.493,"357,066.281"
NYSE,CPT,0.512,31.119,"1,489,121.875"
NYSE,CUZ,0.170,8.419,"1,125,635.125"
NYSE,CPO,0.140,26.396,"748,443.250"
NYSE,CHK,0.075,21.644,"15,956,297.000"
NYSE,CSS,0.150,18.990,"33,159.523"
NYSE,CJR,0.044,13.817,"16,442.064"
NYSE,CBY,0.507,39.399,"588,095.250"
NYSE,CF,0.100,75.305,"2,102,045.750"
NYSE,CJT,0.712,73.113,"134,899.141"
NYSE,CJS,0.716,72.331,"59,189.656"
NYSE,CPB,0.256,30.191,"2,339,478.750"
NYSE,CRE,0.170,6.794,"64,543.652"
NYSE,CLP,0.175,8.371,"965,875.875"
NYSE,CHY,0.085,10.110,"225,555.562"
